2024-11-08 16:52:18.815 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1007, sesid=20190907)
2024-11-08 16:52:18.815 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1007, sesid=20190907)
2024-11-08 16:52:18.820 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.820 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.821 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.821 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.821 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
2024-11-08 16:52:18.821 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
2024-11-08 16:52:18.821 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-dt.nii.gz
2024-11-08 16:52:18.821 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-dt.nii.gz
2024-11-08 16:52:18.822 | DEBUG    | mri_data.file_manager:find_label:408 - No label in [] matched search
2024-11-08 16:52:18.822 | DEBUG    | mri_data.file_manager:find_label:408 - No label in [] matched search
2024-11-08 16:52:18.822 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1007, sesid=20190907)
2024-11-08 16:52:18.822 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1007, sesid=20190907)
2024-11-08 16:52:18.827 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.827 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.827 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1010, sesid=20180208)
2024-11-08 16:52:18.827 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1010, sesid=20180208)
2024-11-08 16:52:18.832 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.832 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.833 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair_ed.nii.gz
2024-11-08 16:52:18.833 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair_ed.nii.gz
2024-11-08 16:52:18.833 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair_ch.nii.gz
2024-11-08 16:52:18.833 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair_ch.nii.gz
2024-11-08 16:52:18.833 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.833 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.834 | DEBUG    | mri_data.file_manager:find_label:405 - Found choroid_t1_flair-CH.nii.gz for Scan(subid=1010, sesid=20180208)
2024-11-08 16:52:18.834 | DEBUG    | mri_data.file_manager:find_label:405 - Found choroid_t1_flair-CH.nii.gz for Scan(subid=1010, sesid=20180208)
2024-11-08 16:52:18.839 | DEBUG    | mri_data.file_manager:find_label:401 - Testing pineal-ch.nii.gz
2024-11-08 16:52:18.839 | DEBUG    | mri_data.file_manager:find_label:401 - Testing pineal-ch.nii.gz
2024-11-08 16:52:18.840 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal_srs.nii.gz
2024-11-08 16:52:18.840 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal_srs.nii.gz
2024-11-08 16:52:18.840 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal_ch.nii.gz
2024-11-08 16:52:18.840 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal_ch.nii.gz
2024-11-08 16:52:18.840 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal-ch.nii.gz
2024-11-08 16:52:18.840 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal-ch.nii.gz
2024-11-08 16:52:18.841 | DEBUG    | mri_data.file_manager:find_label:405 - Found pineal-CH.nii.gz for Scan(subid=1010, sesid=20180208)
2024-11-08 16:52:18.841 | DEBUG    | mri_data.file_manager:find_label:405 - Found pineal-CH.nii.gz for Scan(subid=1010, sesid=20180208)
2024-11-08 16:52:18.846 | DEBUG    | mri_data.file_manager:find_label:401 - Testing pituitary-ch.nii.gz
2024-11-08 16:52:18.846 | DEBUG    | mri_data.file_manager:find_label:401 - Testing pituitary-ch.nii.gz
2024-11-08 16:52:18.846 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pituitary_dt.nii.gz
2024-11-08 16:52:18.846 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pituitary_dt.nii.gz
2024-11-08 16:52:18.846 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pituitary_ch.nii.gz
2024-11-08 16:52:18.846 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pituitary_ch.nii.gz
2024-11-08 16:52:18.847 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pituitary-ch.nii.gz
2024-11-08 16:52:18.847 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pituitary-ch.nii.gz
2024-11-08 16:52:18.847 | DEBUG    | mri_data.file_manager:find_label:405 - Found pituitary-CH.nii.gz for Scan(subid=1010, sesid=20180208)
2024-11-08 16:52:18.847 | DEBUG    | mri_data.file_manager:find_label:405 - Found pituitary-CH.nii.gz for Scan(subid=1010, sesid=20180208)
2024-11-08 16:52:18.847 | DEBUG    | mri_data.utils:combine_labels:109 - Setting choroid_t1_flair with id 1
2024-11-08 16:52:18.847 | DEBUG    | mri_data.utils:combine_labels:109 - Setting choroid_t1_flair with id 1
2024-11-08 16:52:18.848 | DEBUG    | mri_data.utils:set_label_value:51 - thoo0
2024-11-08 16:52:18.848 | DEBUG    | mri_data.utils:set_label_value:51 - thoo0
2024-11-08 16:52:18.848 | DEBUG    | mri_data.utils:set_label_value:57 - thoo1
2024-11-08 16:52:18.848 | DEBUG    | mri_data.utils:set_label_value:57 - thoo1
2024-11-08 16:52:18.848 | DEBUG    | mri_data.utils:set_label_value:66 - fslmaths /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/choroid_t1_flair-CH.nii.gz -bin -mul 1 /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_choroid_t1_flair_1731102738.nii.gz
2024-11-08 16:52:18.848 | DEBUG    | mri_data.utils:set_label_value:66 - fslmaths /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/choroid_t1_flair-CH.nii.gz -bin -mul 1 /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_choroid_t1_flair_1731102738.nii.gz
2024-11-08 16:52:19.599 | DEBUG    | mri_data.utils:set_label_value:68 - thoo4
2024-11-08 16:52:19.599 | DEBUG    | mri_data.utils:set_label_value:68 - thoo4
2024-11-08 16:52:19.600 | DEBUG    | mri_data.utils:combine_labels:111 - thoo
2024-11-08 16:52:19.600 | DEBUG    | mri_data.utils:combine_labels:111 - thoo
2024-11-08 16:52:19.600 | DEBUG    | mri_data.utils:combine_labels:109 - Setting pineal with id 2
2024-11-08 16:52:19.600 | DEBUG    | mri_data.utils:combine_labels:109 - Setting pineal with id 2
2024-11-08 16:52:19.601 | DEBUG    | mri_data.utils:set_label_value:51 - thoo0
2024-11-08 16:52:19.601 | DEBUG    | mri_data.utils:set_label_value:51 - thoo0
2024-11-08 16:52:19.601 | DEBUG    | mri_data.utils:set_label_value:57 - thoo1
2024-11-08 16:52:19.601 | DEBUG    | mri_data.utils:set_label_value:57 - thoo1
2024-11-08 16:52:19.601 | DEBUG    | mri_data.utils:set_label_value:66 - fslmaths /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/pineal-CH.nii.gz -bin -mul 2 /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_pineal_1731102739.nii.gz
2024-11-08 16:52:19.601 | DEBUG    | mri_data.utils:set_label_value:66 - fslmaths /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/pineal-CH.nii.gz -bin -mul 2 /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_pineal_1731102739.nii.gz
2024-11-08 16:52:20.341 | DEBUG    | mri_data.utils:set_label_value:68 - thoo4
2024-11-08 16:52:20.341 | DEBUG    | mri_data.utils:set_label_value:68 - thoo4
2024-11-08 16:52:20.341 | DEBUG    | mri_data.utils:combine_labels:111 - thoo
2024-11-08 16:52:20.341 | DEBUG    | mri_data.utils:combine_labels:111 - thoo
2024-11-08 16:52:20.342 | DEBUG    | mri_data.utils:combine_labels:109 - Setting pituitary with id 3
2024-11-08 16:52:20.342 | DEBUG    | mri_data.utils:combine_labels:109 - Setting pituitary with id 3
2024-11-08 16:52:20.342 | DEBUG    | mri_data.utils:set_label_value:51 - thoo0
2024-11-08 16:52:20.342 | DEBUG    | mri_data.utils:set_label_value:51 - thoo0
2024-11-08 16:52:20.346 | DEBUG    | mri_data.utils:set_label_value:57 - thoo1
2024-11-08 16:52:20.346 | DEBUG    | mri_data.utils:set_label_value:57 - thoo1
2024-11-08 16:52:20.346 | DEBUG    | mri_data.utils:set_label_value:66 - fslmaths /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/pituitary-CH.nii.gz -bin -mul 3 /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_pituitary_1731102740.nii.gz
2024-11-08 16:52:20.346 | DEBUG    | mri_data.utils:set_label_value:66 - fslmaths /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/pituitary-CH.nii.gz -bin -mul 3 /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_pituitary_1731102740.nii.gz
2024-11-08 16:52:21.063 | DEBUG    | mri_data.utils:set_label_value:68 - thoo4
2024-11-08 16:52:21.063 | DEBUG    | mri_data.utils:set_label_value:68 - thoo4
2024-11-08 16:52:21.063 | DEBUG    | mri_data.utils:combine_labels:111 - thoo
2024-11-08 16:52:21.063 | DEBUG    | mri_data.utils:combine_labels:111 - thoo
2024-11-08 16:52:21.071 | DEBUG    | mri_data.utils:merge_labels:40 - Merging labels: ['/media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_choroid_t1_flair_1731102738.nii.gz', '/media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_pineal_1731102739.nii.gz', '/media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_pituitary_1731102740.nii.gz']
2024-11-08 16:52:21.071 | DEBUG    | mri_data.utils:merge_labels:40 - Merging labels: ['/media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_choroid_t1_flair_1731102738.nii.gz', '/media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_pineal_1731102739.nii.gz', '/media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/tmp_pituitary_1731102740.nii.gz']
2024-11-08 16:52:22.383 | DEBUG    | mri_data.utils:merge_labels:46 - Merged label is: /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/choroid_t1_flair-CH.pineal-CH.pituitary-CH.nii.gz
